date,sherrill_pct,opponent_pct,margin_interpolated,days_until_election
2025-06-14,56.0,35.0,21.0,144
2025-06-15,55.69,35.06,20.64,143
2025-06-16,55.39,35.11,20.28,142
2025-06-17,55.08,35.17,19.92,141
2025-06-18,54.78,35.22,19.56,140
2025-06-19,54.47,35.28,19.19,139
2025-06-20,54.17,35.33,18.83,138
2025-06-21,53.86,35.39,18.47,137
2025-06-22,53.56,35.44,18.11,136
2025-06-23,53.25,35.5,17.75,135
2025-06-24,52.94,35.56,17.39,134
2025-06-25,52.64,35.61,17.03,133
2025-06-26,52.33,35.67,16.67,132
2025-06-27,52.03,35.72,16.31,131
2025-06-28,51.72,35.78,15.94,130
2025-06-29,51.42,35.83,15.58,129
2025-06-30,51.11,35.89,15.22,128
2025-07-01,50.81,35.94,14.86,127
2025-07-02,50.5,36.0,14.5,126
2025-07-03,50.19,36.06,14.14,125
2025-07-04,49.89,36.11,13.78,124
2025-07-05,49.58,36.17,13.42,123
2025-07-06,49.28,36.22,13.06,122
2025-07-07,48.97,36.28,12.69,121
2025-07-08,48.67,36.33,12.33,120
2025-07-09,48.36,36.39,11.97,119
2025-07-10,48.06,36.44,11.61,118
2025-07-11,47.75,36.5,11.25,117
2025-07-12,47.44,36.56,10.89,116
2025-07-13,47.14,36.61,10.53,115
2025-07-14,46.83,36.67,10.17,114
2025-07-15,46.53,36.72,9.81,113
2025-07-16,46.22,36.78,9.44,112
2025-07-17,45.92,36.83,9.08,111
2025-07-18,45.61,36.89,8.72,110
2025-07-19,45.31,36.94,8.36,109
2025-07-20,45.0,37.0,8.0,108
2025-07-21,45.55,37.73,7.82,107
2025-07-22,46.09,38.45,7.64,106
2025-07-23,46.64,39.18,7.45,105
2025-07-24,47.18,39.91,7.27,104
2025-07-25,47.73,40.64,7.09,103
2025-07-26,48.27,41.36,6.91,102
2025-07-27,48.82,42.09,6.73,101
2025-07-28,49.36,42.82,6.55,100
2025-07-29,49.91,43.55,6.36,99
2025-07-30,50.45,44.27,6.18,98
2025-07-31,51.0,45.0,6.0,97
2025-08-01,50.2,43.4,6.8,96
2025-08-02,49.4,41.8,7.6,95
2025-08-03,48.6,40.2,8.4,94
2025-08-04,47.8,38.6,9.2,93
2025-08-05,47.0,37.0,10.0,92
2025-08-06,47.0,37.0,10.0,91
2025-08-07,47.0,37.0,10.0,90
2025-08-08,47.0,37.0,10.0,89
2025-08-09,47.0,37.0,10.0,88
2025-08-10,47.0,37.0,10.0,87
2025-08-11,47.0,37.0,10.0,86
2025-08-12,47.0,37.0,10.0,85
2025-08-13,47.0,37.0,10.0,84
2025-08-14,47.0,37.0,10.0,83
2025-08-15,47.0,37.0,10.0,82
2025-08-16,47.0,37.0,10.0,81
2025-08-17,47.0,37.0,10.0,80
2025-08-18,47.0,37.0,10.0,79
2025-08-19,47.0,37.0,10.0,78
2025-08-20,47.0,37.0,10.0,77
2025-08-21,47.0,37.0,10.0,76
2025-08-22,47.0,37.0,10.0,75
2025-08-23,47.0,37.0,10.0,74
2025-08-24,47.0,37.0,10.0,73
2025-08-25,47.0,37.0,10.0,72
2025-08-26,47.0,37.0,10.0,71
2025-08-27,47.0,37.0,10.0,70
2025-08-28,47.0,37.0,10.0,69
2025-08-29,47.0,37.0,10.0,68
2025-08-30,47.0,37.0,10.0,67
2025-08-31,47.0,37.0,10.0,66
2025-09-01,47.0,37.0,10.0,65
2025-09-02,47.0,37.0,10.0,64
2025-09-03,47.0,37.0,10.0,63
2025-09-04,47.2,37.4,9.8,62
2025-09-05,47.4,37.8,9.6,61
2025-09-06,47.6,38.2,9.4,60
2025-09-07,47.8,38.6,9.2,59
2025-09-08,48.0,39.0,9.0,58
2025-09-09,48.2,39.4,8.8,57
2025-09-10,48.4,39.8,8.6,56
2025-09-11,48.6,40.2,8.4,55
2025-09-12,48.8,40.6,8.2,54
2025-09-13,49.0,41.0,8.0,53
2025-09-14,48.33,41.22,7.11,52
2025-09-15,47.67,41.44,6.22,51
2025-09-16,47.0,41.67,5.33,50
2025-09-17,46.33,41.89,4.44,49
2025-09-18,45.67,42.11,3.56,48
2025-09-19,45.0,42.33,2.67,47
2025-09-20,44.33,42.56,1.78,46
2025-09-21,43.67,42.78,0.89,45
2025-09-22,43.0,43.0,0.0,44
2025-09-23,44.75,42.75,2.0,43
2025-09-24,46.5,42.5,4.0,42
2025-09-25,48.25,42.25,6.0,41
2025-09-26,50.0,42.0,8.0,40
2025-09-27,49.33,43.33,6.0,39
2025-09-28,48.67,44.67,4.0,38
2025-09-29,48.0,46.0,2.0,37
2025-09-30,48.18,45.91,2.27,36
2025-10-01,48.36,45.82,2.55,35
2025-10-02,48.55,45.73,2.82,34
2025-10-03,48.73,45.64,3.09,33
2025-10-04,48.91,45.55,3.36,32
2025-10-05,49.09,45.45,3.64,31
2025-10-06,49.27,45.36,3.91,30
2025-10-07,49.45,45.27,4.18,29
2025-10-08,49.64,45.18,4.45,28
2025-10-09,49.82,45.09,4.73,27
2025-10-10,50.0,45.0,5.0,26
2025-10-11,50.0,44.0,6.0,25
2025-10-12,52.0,45.0,7.0,24
2025-10-13,48.5,44.5,4.0,23
2025-10-14,45.0,44.0,1.0,22
2025-10-14,50.0,45.0,5.0,22
2025-10-15,50.5,44.88,5.62,21
2025-10-16,51.0,44.75,6.25,20
2025-10-17,51.5,44.62,6.88,19
2025-10-18,52.0,44.5,7.5,18
2025-10-19,52.5,44.38,8.12,17
2025-10-20,53.0,44.25,8.75,16
2025-10-21,53.5,44.12,9.38,15
2025-10-22,54.0,44.0,10.0,14
2025-10-23,53.0,45.0,8.0,13
2025-10-24,52.0,46.0,6.0,12
2025-10-25,51.0,47.0,4.0,11
